date,week_number,sku_id,sku_name,category,warehouse_id,warehouse_name,unit_price,lead_time_days,festival_flag,promo_flag,demand_units,available_stock_units,fulfilled_units,stockout_flag
2024-04-28,17,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,495,917,495,0
2024-05-05,18,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,1,575,1066,575,0
2024-05-12,19,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,439,491,439,0
2024-05-19,20,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,563,696,563,0
2024-05-26,21,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,1,568,777,568,0
2024-06-02,22,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,1,601,853,601,0
2024-06-09,23,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,543,896,543,0
2024-06-16,24,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,381,997,381,0
2024-06-23,25,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,553,616,553,0
2024-06-30,26,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,560,707,560,0
2024-07-07,27,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,592,791,592,0
2024-07-14,28,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,490,843,490,0
2024-07-21,29,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,485,997,485,0
2024-07-28,30,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,567,512,512,1
2024-08-04,31,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,405,644,405,0
2024-08-11,32,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,427,883,427,0
2024-08-18,33,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,1,583,1100,583,0
2024-08-25,34,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,381,517,381,0
2024-09-01,35,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,468,780,468,0
2024-09-08,36,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,351,956,351,0
2024-09-15,37,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,453,605,453,0
2024-09-22,38,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,454,796,454,0
2024-09-29,39,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,400,986,400,0
2024-10-06,40,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,741,586,586,1
2024-10-13,41,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,910,644,644,1
2024-10-20,42,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,749,644,644,1
2024-10-27,43,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,1,1011,644,644,1
2024-11-03,44,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,1,957,644,644,1
2024-11-10,45,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,701,644,644,1
2024-11-17,46,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,393,644,393,0
2024-11-24,47,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,444,895,444,0
2024-12-01,48,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,497,1095,497,0
2024-12-08,49,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,359,598,359,0
2024-12-15,50,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,506,883,506,0
2024-12-22,51,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,688,1021,688,0
2024-12-29,52,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,621,977,621,0
2025-01-05,53,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,444,1000,444,0
2025-01-12,54,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,1,574,556,556,1
2025-01-19,55,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,372,644,372,0
2025-01-26,56,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,420,916,420,0
2025-02-02,57,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,429,496,429,0
2025-02-09,58,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,345,711,345,0
2025-02-16,59,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,1,591,1010,591,0
2025-02-23,60,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,398,1063,398,0
2025-03-02,61,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,462,665,462,0
2025-03-09,62,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,491,847,491,0
2025-03-16,63,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,837,1000,837,0
2025-03-23,64,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,830,807,807,1
2025-03-30,65,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,500,644,500,0
2025-04-06,66,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,608,788,608,0
2025-04-13,67,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,535,824,535,0
2025-04-20,68,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,597,933,597,0
2025-04-27,69,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,625,980,625,0
2025-05-04,70,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,546,999,546,0
2025-05-11,71,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,590,1097,590,0
2025-05-18,72,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,629,507,507,1
2025-05-25,73,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,583,644,583,0
2025-06-01,74,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,502,705,502,0
2025-06-08,75,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,689,847,689,0
2025-06-15,76,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,674,802,674,0
2025-06-22,77,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,591,772,591,0
2025-06-29,78,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,1,879,825,825,1
2025-07-06,79,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,1,678,644,644,1
2025-07-13,80,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,493,644,493,0
2025-07-20,81,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,464,795,464,0
2025-07-27,82,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,441,975,441,0
2025-08-03,83,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,433,534,433,0
2025-08-10,84,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,1,494,745,494,0
2025-08-17,85,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,400,895,400,0
2025-08-24,86,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,460,495,460,0
2025-08-31,87,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,371,679,371,0
2025-09-07,88,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,358,952,358,0
2025-09-14,89,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,449,594,449,0
2025-09-21,90,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,476,789,476,0
2025-09-28,91,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,466,957,466,0
2025-10-05,92,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,649,491,491,1
2025-10-12,93,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,734,644,644,1
2025-10-19,94,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,745,644,644,1
2025-10-26,95,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,657,644,644,1
2025-11-02,96,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,1,1010,644,644,1
2025-11-09,97,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,1,1033,644,644,1
2025-11-16,98,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,438,644,438,0
2025-11-23,99,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,366,850,366,0
2025-11-30,100,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,556,484,484,1
2025-12-07,101,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,406,644,406,0
2025-12-14,102,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,0,0,502,882,502,0
2025-12-21,103,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,790,1024,790,0
2025-12-28,104,SKU12,Cider 500ml,Non-Alcoholic,WH01,North DC,130,10,1,0,643,878,643,0
2024-01-07,1,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1909,2548,1909,0
2024-01-14,2,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1532,3551,1532,0
2024-01-21,3,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1744,4931,1744,0
2024-01-28,4,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,1,2405,3187,2405,0
2024-02-04,5,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,1,2289,3694,2289,0
2024-02-11,6,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1986,4317,1986,0
2024-02-18,7,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1727,2331,1727,0
2024-02-25,8,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2046,3516,2046,0
2024-03-03,9,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1871,4382,1871,0
2024-03-10,10,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3556,2511,2511,1
2024-03-17,11,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3155,2912,2912,1
2024-03-24,12,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,1,3392,2912,2912,1
2024-03-31,13,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2298,2912,2298,0
2024-04-07,14,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,1,2161,3526,2161,0
2024-04-14,15,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2278,4277,2278,0
2024-04-21,16,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2193,4911,2193,0
2024-04-28,17,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2868,2718,2718,1
2024-05-05,18,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2752,2912,2752,0
2024-05-12,19,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2189,3072,2189,0
2024-05-19,20,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2150,3795,2150,0
2024-05-26,21,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2375,4557,2375,0
2024-06-02,22,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2174,5094,2174,0
2024-06-09,23,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2961,2920,2920,1
2024-06-16,24,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2002,2912,2002,0
2024-06-23,25,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,1,3840,3822,3822,1
2024-06-30,26,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2645,2912,2645,0
2024-07-07,27,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2304,3179,2304,0
2024-07-14,28,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,1,2733,3787,2733,0
2024-07-21,29,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1749,3966,1749,0
2024-07-28,30,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2370,2217,2217,1
2024-08-04,31,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1891,2912,1891,0
2024-08-11,32,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1669,3933,1669,0
2024-08-18,33,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2133,2264,2133,0
2024-08-25,34,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2116,3043,2116,0
2024-09-01,35,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2139,3839,2139,0
2024-09-08,36,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2104,4612,2104,0
2024-09-15,37,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1774,2508,1774,0
2024-09-22,38,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2021,3646,2021,0
2024-09-29,39,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2142,4537,2142,0
2024-10-06,40,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3810,2395,2395,1
2024-10-13,41,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,2445,2912,2445,0
2024-10-20,42,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3402,3379,3379,1
2024-10-27,43,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3142,2912,2912,1
2024-11-03,44,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,1,5045,2912,2912,1
2024-11-10,45,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3419,2912,2912,1
2024-11-17,46,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2020,2912,2020,0
2024-11-24,47,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1962,3804,1962,0
2024-12-01,48,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2224,4754,2224,0
2024-12-08,49,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,1,2927,2530,2530,1
2024-12-15,50,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1933,2912,1933,0
2024-12-22,51,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,2973,3891,2973,0
2024-12-29,52,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3374,3830,3374,0
2025-01-05,53,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1671,3368,1671,0
2025-01-12,54,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1698,4609,1698,0
2025-01-19,55,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1784,2911,1784,0
2025-01-26,56,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2116,4039,2116,0
2025-02-02,57,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1955,4835,1955,0
2025-02-09,58,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1792,2880,1792,0
2025-02-16,59,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2234,4000,2234,0
2025-02-23,60,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1591,4678,1591,0
2025-03-02,61,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2055,3087,2055,0
2025-03-09,62,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2201,3944,2201,0
2025-03-16,63,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,4372,4655,4372,0
2025-03-23,64,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3311,3195,3195,1
2025-03-30,65,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,1,2994,2912,2912,1
2025-04-06,66,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2594,2912,2594,0
2025-04-13,67,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2270,3230,2270,0
2025-04-20,68,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2814,3872,2814,0
2025-04-27,69,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2558,3970,2558,0
2025-05-04,70,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2486,4324,2486,0
2025-05-11,71,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2234,4750,2234,0
2025-05-18,72,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2685,2516,2516,1
2025-05-25,73,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,3147,2912,2912,1
2025-06-01,74,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2470,2912,2470,0
2025-06-08,75,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2314,3354,2314,0
2025-06-15,76,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2139,3952,2139,0
2025-06-22,77,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2114,4725,2114,0
2025-06-29,78,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2636,2611,2611,1
2025-07-06,79,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2307,2912,2307,0
2025-07-13,80,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,1,2993,3517,2993,0
2025-07-20,81,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,1,2831,3436,2831,0
2025-07-27,82,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2342,3517,2342,0
2025-08-03,83,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2352,4087,2352,0
2025-08-10,84,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2295,4647,2295,0
2025-08-17,85,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,1,2854,2352,2352,1
2025-08-24,86,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2244,2912,2244,0
2025-08-31,87,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2160,3580,2160,0
2025-09-07,88,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1635,4332,1635,0
2025-09-14,89,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1955,2697,1955,0
2025-09-21,90,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2075,3654,2075,0
2025-09-28,91,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1802,4491,1802,0
2025-10-05,92,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,1,5451,2689,2689,1
2025-10-12,93,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3485,2912,2912,1
2025-10-19,94,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,2924,2912,2912,1
2025-10-26,95,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3467,2912,2912,1
2025-11-02,96,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3822,2912,2912,1
2025-11-09,97,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3265,2912,2912,1
2025-11-16,98,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1991,2912,1991,0
2025-11-23,99,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1637,3833,1637,0
2025-11-30,100,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,1923,2196,1923,0
2025-12-07,101,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2036,3185,2036,0
2025-12-14,102,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,0,0,2013,4061,2013,0
2025-12-21,103,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,3350,4960,3350,0
2025-12-28,104,SKU01,Lager 650ml,Beer,WH02,West DC,120,5,1,0,2701,4522,2701,0
2024-01-07,1,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1898,2548,1898,0
2024-01-14,2,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,1,2433,3562,2433,0
2024-01-21,3,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1671,4041,1671,0
2024-01-28,4,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1636,2370,1636,0
2024-02-04,5,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,1,2753,3646,2753,0
2024-02-11,6,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1765,3805,1765,0
2024-02-18,7,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1922,4952,1922,0
2024-02-25,8,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1934,3030,1934,0
2024-03-03,9,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1757,4008,1757,0
2024-03-10,10,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,0,3468,2251,2251,1
2024-03-17,11,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,0,3451,2912,2912,1
2024-03-24,12,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,1,5111,2912,2912,1
2024-03-31,13,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2161,2912,2161,0
2024-04-07,14,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2724,3663,2724,0
2024-04-14,15,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2740,3851,2740,0
2024-04-21,16,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2419,4023,2419,0
2024-04-28,17,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,3146,4516,3146,0
2024-05-05,18,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2280,4282,2280,0
2024-05-12,19,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2022,4914,2022,0
2024-05-19,20,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1898,2892,1898,0
2024-05-26,21,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2370,3906,2370,0
2024-06-02,22,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,1,2477,4448,2477,0
2024-06-09,23,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2311,4883,2311,0
2024-06-16,24,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2524,2572,2524,0
2024-06-23,25,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2602,2960,2602,0
2024-06-30,26,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2414,3270,2414,0
2024-07-07,27,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1975,3768,1975,0
2024-07-14,28,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2031,4705,2031,0
2024-07-21,29,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,1,2878,2674,2674,1
2024-07-28,30,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1894,2912,1894,0
2024-08-04,31,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1727,3930,1727,0
2024-08-11,32,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1960,2203,1960,0
2024-08-18,33,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1910,3155,1910,0
2024-08-25,34,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1514,4157,1514,0
2024-09-01,35,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2130,2643,2130,0
2024-09-08,36,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1788,3425,1788,0
2024-09-15,37,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1636,4549,1636,0
2024-09-22,38,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1588,2913,1588,0
2024-09-29,39,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2143,4237,2143,0
2024-10-06,40,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,0,2545,5006,2545,0
2024-10-13,41,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,0,3601,2461,2461,1
2024-10-20,42,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,0,3781,2912,2912,1
2024-10-27,43,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,0,3276,2912,2912,1
2024-11-03,44,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,0,4097,2912,2912,1
2024-11-10,45,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,0,3036,2912,2912,1
2024-11-17,46,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2038,2912,2038,0
2024-11-24,47,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1943,3786,1943,0
2024-12-01,48,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2322,4755,2322,0
2024-12-08,49,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1857,2433,1857,0
2024-12-15,50,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2022,3488,2022,0
2024-12-22,51,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,0,2926,4378,2926,0
2024-12-29,52,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,0,2362,4364,2362,0
2025-01-05,53,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1896,4914,1896,0
2025-01-12,54,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1795,3018,1795,0
2025-01-19,55,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1961,4135,1961,0
2025-01-26,56,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2040,5086,2040,0
2025-02-02,57,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2251,3046,2251,0
2025-02-09,58,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1398,3707,1398,0
2025-02-16,59,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1943,2309,1943,0
2025-02-23,60,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,1642,3278,1642,0
2025-03-02,61,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2387,4548,2387,0
2025-03-09,62,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2839,5073,2839,0
2025-03-16,63,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,0,3446,2234,2234,1
2025-03-23,64,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,1,0,3254,2912,2912,1
2025-03-30,65,SKU02,Lager 330ml,Beer,WH02,West DC,70,5,0,0,2121,2912,2121,0
